fecha_num,Hum_missForest,Tem_missForest
44616.8125,91,14.28
44616.82638888889,91,14.5
44616.84027777778,91,14.5
44616.854166666664,90,14.72
44616.868055555555,90,14.89
44616.881944444445,89,15.28
44616.895833333336,83,15.78
44616.90972222222,79,16.28
44616.92361111111,77,16.5
44616.9375,84,15.89
44616.95138888889,86,16.11
44616.96527777778,81,16.5
44616.979166666664,82,16.39
44616.993055555555,84,16.5
44617.006944444445,82,16.39
44617.020833333336,87,15.78
44617.03472222222,88,16
44617.04861111111,87,16
44617.0625,88,16.22
44617.07638888889,85,16.28
44617.09027777778,86,16.11
44617.104166666664,86,16
44617.118055555555,88,15.72
44617.131944444445,91,15.39
44617.145833333336,91,15.5
44617.15972222222,90,15.78
44617.17361111111,89,15.89
44617.1875,88,15.89
44617.20138888889,89,15.61
44617.21527777778,89,14.72
44617.229166666664,89.4885,14.680761800046945
44617.243055555555,86,13.61
44617.256944444445,88.09523809523809,14.341230052127482
44617.270833333336,85.78232142857144,14.037945103313234
44617.28472222222,80,12.89
44617.29861111111,80,12.61
44617.3125,82,12.28
44617.32638888889,81,12.28
44617.34027777778,78,12.39
44617.354166666664,78,12.39
44617.368055555555,76,12.39
44617.381944444445,75,12.39
44617.395833333336,74,12.39
44617.40972222222,73,12.39
44617.42361111111,72,12.39
44617.4375,72,12.28
44617.45138888889,72,12.28
44617.46527777778,71,12.22
44617.479166666664,72,12
44617.493055555555,73,12
44617.506944444445,74,11.78
44617.520833333336,73,11.78
44617.53472222222,73,11.72
44617.54861111111,71,11.61
44617.5625,70,11.28
44617.57638888889,70,11.11
44617.59027777778,71,11
44617.604166666664,72,10.89
44617.618055555555,72,10.78
44617.631944444445,72,10.61
44617.645833333336,73,10.5
44617.65972222222,73,10.39
44617.67361111111,74,10.28
44617.6875,74,10.22
44617.70138888889,73,10.11
44617.71527777778,73,10.11
44617.729166666664,73,10
44617.743055555555,72,10
44617.756944444445,91,11.11111111111111
44617.770833333336,92,10.88888888888889
44617.78472222222,92,10.999999999999998
44617.79861111111,91,10.61111111111111
44617.8125,86.08566666666665,13.652908992202127
44617.82638888889,91,10.722222222222221
44617.84027777778,91,10.61111111111111
44617.854166666664,91,10.388888888888891
44617.868055555555,91,10.388888888888891
44617.881944444445,85.90166666666669,13.598854230297366
44617.895833333336,85.89166666666668,13.592032008075146
44617.90972222222,85.87166666666668,13.612076452519588
